timestamp,contact_1,contact_2,contact_3,contact_4
1741261517.7162013,36,36,36,35
1741261517.718209,36,36,36,35
1741261517.7201939,36,36,36,35
1741261517.722182,36,36,36,35
1741261517.7241988,36,36,36,35
1741261517.7263095,36,36,36,35
1741261517.7282088,36,36,36,35
1741261517.7302175,36,36,36,35
1741261517.7322958,36,36,36,35
1741261517.7342134,36,36,36,34
1741261517.736211,36,36,36,34
1741261517.7382379,36,36,36,34
1741261517.7402143,36,36,36,34
1741261517.7423253,36,36,36,34
1741261517.7441926,36,36,36,34
1741261517.746192,36,36,36,34
1741261517.7482104,36,36,36,34
1741261517.7501981,36,36,36,34
1741261517.7522001,36,36,36,34
1741261517.7541914,36,36,36,34
1741261517.756195,36,36,36,34
1741261517.7581968,36,36,36,34
1741261517.7601814,36,36,36,34
1741261517.7621796,36,36,36,34
1741261517.764192,36,36,36,34
1741261517.766203,36,36,36,34
1741261517.7681963,36,36,36,34
1741261517.7702012,36,36,36,34
1741261517.772192,36,36,36,34
1741261517.7741873,36,36,36,34
1741261517.7761865,36,36,36,34
1741261517.7782214,36,36,36,34
1741261517.7802079,36,36,36,34
1741261517.7824,36,36,36,34
1741261517.784387,36,36,36,34
1741261517.7862127,36,36,36,34
1741261517.788187,36,36,36,34
1741261517.7901964,36,36,36,34
1741261517.792192,36,36,36,34
1741261517.7941902,36,36,36,34
1741261517.796187,36,36,36,34
1741261517.7982206,36,36,36,34
1741261517.8002107,36,36,36,34
1741261517.8025336,36,36,36,34
1741261517.804217,36,36,36,34
1741261517.80631,36,36,36,34
1741261517.808204,36,36,36,34
1741261517.8102136,36,36,36,34
1741261517.812208,36,36,36,34
1741261517.8142061,36,36,36,34
1741261517.8161843,36,36,36,34
1741261517.8181915,36,36,36,34
1741261517.8201663,36,36,36,34
1741261517.8222113,36,36,36,34
1741261517.8241882,36,36,36,34
1741261517.8265262,36,36,36,34
1741261517.8282838,36,36,36,34
1741261517.8302,36,36,36,34
1741261517.8332536,36,36,36,34
1741261517.8342037,36,36,36,34
1741261517.8362017,36,36,36,34
1741261517.8382173,36,36,36,34
1741261517.84023,36,36,36,34
1741261517.842215,36,36,36,34
1741261517.8441894,36,36,36,34
1741261517.8461862,36,36,36,34
1741261517.848194,36,36,36,34
1741261517.850246,36,36,36,34
1741261517.8522289,36,36,36,34
1741261517.854226,36,36,36,34
1741261517.8562322,36,36,36,34
1741261517.858249,36,36,36,34
1741261517.8602226,36,36,36,34
1741261517.8622205,36,36,36,34
1741261517.8642292,36,36,36,34
1741261517.8664417,36,36,36,34
1741261517.8686001,36,36,36,34
1741261517.8702075,36,36,36,34
1741261517.8723478,36,36,36,34
1741261517.8752367,36,36,36,34
1741261517.876185,36,36,36,34
1741261517.878206,36,36,36,34
1741261517.880192,36,36,36,34
1741261517.8822262,36,36,36,34
1741261517.8842306,36,36,36,34
1741261517.886434,36,36,36,34
1741261517.8882537,36,36,36,34
1741261517.890197,36,36,36,34
1741261517.8922217,36,36,36,34
1741261517.8942015,36,36,36,34
1741261517.8961997,36,36,36,34
1741261517.8982174,36,36,36,34
1741261517.900191,36,36,36,34
1741261517.9021893,36,36,36,34
1741261517.904177,36,36,36,34
1741261517.906187,36,36,36,34
1741261517.9081898,36,36,36,34
1741261517.9101868,36,36,36,34
1741261517.9121861,36,36,36,34
1741261517.9141982,36,36,36,34
1741261517.9161885,36,36,36,34
1741261517.9181983,36,36,36,34
1741261517.9201975,36,36,36,34
1741261517.9222016,36,36,36,34
1741261517.9241834,36,36,36,34
1741261517.9265592,36,36,36,34
1741261517.9281807,36,36,36,34
1741261517.9301908,36,36,36,34
1741261517.9321868,36,36,36,34
1741261517.9341836,36,36,36,34
1741261517.9361863,36,36,36,34
1741261517.9381988,36,36,36,34
1741261517.9401774,36,36,36,34
1741261517.9426467,36,36,36,34
1741261517.9441946,36,36,36,34
1741261517.9461904,36,36,36,34
1741261517.94818,36,36,36,34
1741261517.9501944,36,36,36,34
1741261517.952192,36,36,36,34
1741261517.9541986,36,36,36,34
1741261517.956202,36,36,36,34
1741261517.9581907,36,36,36,34
1741261517.9601994,36,36,36,34
1741261517.962256,36,36,36,34
1741261517.9641812,36,36,36,34
1741261517.9663305,36,36,36,34
1741261517.9682145,36,36,36,34
1741261517.9701943,36,36,36,34
1741261517.9721904,36,36,36,34
1741261517.9742131,36,36,36,34
1741261517.9761944,36,36,36,34
1741261517.978187,36,36,36,34
1741261517.9802313,36,36,36,34
1741261517.9821887,36,36,36,34
1741261517.9841754,36,36,36,34
1741261517.9861844,36,36,36,34
1741261517.9881854,36,36,36,34
1741261517.9901898,36,36,36,34
1741261517.99219,36,36,36,34
1741261517.9941852,36,36,36,34
1741261517.9961815,36,36,36,34
1741261517.9981773,36,36,36,34
1741261518.0001853,36,36,36,34
1741261518.0021834,36,36,36,34
1741261518.0041995,36,36,36,34
1741261518.0062962,36,36,36,34
1741261518.0081909,36,36,36,34
1741261518.010212,36,36,36,34
1741261518.0121968,36,36,36,34
1741261518.0152705,36,36,36,34
1741261518.0161953,36,36,36,34
1741261518.0181978,36,36,36,34
1741261518.0204391,36,36,36,34
1741261518.0221837,36,36,36,34
1741261518.024183,36,36,36,34
1741261518.0261896,36,36,36,34
1741261518.0281851,36,36,36,34
1741261518.0301821,36,36,36,34
1741261518.0321949,36,36,36,34
1741261518.0342083,36,36,36,34
1741261518.036189,36,36,36,34
1741261518.0381742,36,36,36,34
1741261518.04019,36,36,36,34
1741261518.0421808,36,36,36,34
1741261518.044196,36,36,36,34
1741261518.0462012,36,36,36,34
1741261518.0482004,36,36,36,34
1741261518.0501907,36,36,36,34
1741261518.0522034,36,36,36,34
1741261518.0541725,36,36,36,34
1741261518.056188,36,36,36,34
1741261518.0581937,36,36,36,34
1741261518.0601897,36,36,36,34
1741261518.0621855,36,36,36,34
1741261518.0641942,36,36,36,34
1741261518.0661936,36,36,36,34
1741261518.0682912,36,36,36,34
1741261518.07021,36,36,36,34
1741261518.072193,36,36,36,34
1741261518.0741856,36,36,36,34
1741261518.0763266,36,36,36,34
1741261518.0781832,36,36,36,34
1741261518.081131,36,36,36,34
1741261518.0829947,36,36,36,34
1741261518.0841799,36,36,36,34
1741261518.0861785,36,36,36,34
1741261518.088178,36,36,36,34
1741261518.0901825,36,36,36,34
1741261518.0921853,36,36,36,34
1741261518.0941844,36,36,36,34
1741261518.0961847,36,36,36,34
1741261518.0981975,36,36,36,34
1741261518.1001935,36,36,36,34
1741261518.1021826,36,36,36,34
1741261518.1041856,36,36,36,34
1741261518.106198,36,36,36,34
1741261518.108178,36,36,36,34
1741261518.110186,36,36,36,34
1741261518.1121798,36,36,36,34
1741261518.11419,36,36,36,34
1741261518.116194,36,36,36,34
1741261518.1182148,36,36,36,34
1741261518.120197,36,36,36,34
1741261518.1222086,36,36,36,34
1741261518.124177,36,36,36,34
1741261518.1262145,36,36,36,34
1741261518.1285114,36,36,36,34
1741261518.1305845,36,36,36,34
1741261518.1321929,36,36,36,34
1741261518.1341903,36,36,36,34
1741261518.1364932,36,36,36,34
1741261518.1381867,36,36,36,34
1741261518.1401925,36,36,36,34
1741261518.1421902,36,36,36,34
1741261518.1441972,36,36,36,34
1741261518.1461987,36,36,36,34
1741261518.1481855,36,36,36,34
1741261518.1501937,36,36,36,34
1741261518.152184,36,36,36,34
1741261518.1543915,36,36,36,34
1741261518.1562037,36,36,36,34
1741261518.1582043,36,36,36,34
1741261518.1601884,36,36,36,34
1741261518.1621888,36,36,36,34
1741261518.1641788,36,36,36,34
1741261518.1666572,36,36,36,34
1741261518.1683733,36,36,36,34
1741261518.1701696,36,36,36,34
1741261518.1725118,36,36,36,34
1741261518.1741693,36,36,36,34
1741261518.1761863,36,36,36,34
1741261518.1781645,36,36,36,34
1741261518.1801724,36,36,36,34
1741261518.1821687,36,36,36,34
1741261518.1841886,36,36,36,34
1741261518.186185,36,36,36,34
1741261518.1881819,36,36,36,34
1741261518.190188,36,36,36,34
1741261518.1921868,36,36,36,34
1741261518.1941717,36,36,36,34
1741261518.196186,36,36,36,34
1741261518.198164,36,36,36,34
1741261518.2001908,36,36,36,34
1741261518.2021718,36,36,36,34
1741261518.204194,36,36,36,34
1741261518.206183,36,36,36,34
1741261518.2081969,36,36,36,34
1741261518.210187,36,36,36,34
1741261518.212201,36,36,36,34
1741261518.2141798,36,36,36,34
1741261518.216179,36,36,36,34
1741261518.2181861,36,36,36,34
1741261518.220161,36,36,36,34
1741261518.2229064,36,36,36,34
1741261518.224185,36,36,36,34
1741261518.2262034,36,36,36,34
1741261518.228189,36,36,36,34
1741261518.230185,36,36,36,34
1741261518.232182,36,36,36,34
1741261518.2341795,36,36,36,34
1741261518.2361872,36,36,36,34
1741261518.238202,36,36,36,34
1741261518.2401705,36,36,36,34
1741261518.2421663,36,36,36,34
1741261518.2441938,36,36,36,34
1741261518.2461963,36,36,36,34
1741261518.2481623,36,36,36,34
1741261518.2501724,36,36,36,34
1741261518.252182,36,36,36,34
1741261518.2541964,36,36,36,34
1741261518.2561743,36,36,36,34
1741261518.2583914,36,36,36,34
1741261518.2601805,36,36,36,34
1741261518.262183,36,36,36,34
1741261518.2642038,36,36,36,34
1741261518.266168,36,36,36,34
1741261518.268187,36,36,36,34
1741261518.2701728,36,36,36,34
1741261518.2721794,36,36,36,34
1741261518.2742167,36,36,36,34
1741261518.2761931,36,36,36,34
1741261518.278178,36,36,36,34
1741261518.280195,36,36,36,34
1741261518.2821825,36,36,36,34
1741261518.2841794,36,36,36,34
1741261518.2862062,36,36,36,34
1741261518.2881818,36,36,36,34
1741261518.2901704,36,36,36,34
1741261518.2921653,36,36,36,34
1741261518.2947586,36,36,36,34
1741261518.2964818,36,36,36,34
1741261518.2983809,36,36,36,34
1741261518.3001802,36,36,36,34
1741261518.3021712,36,36,36,34
1741261518.3045797,36,36,36,34
1741261518.306186,36,36,36,34
1741261518.308181,36,36,36,34
1741261518.3102553,36,36,36,34
1741261518.3121736,36,36,36,34
1741261518.3141904,36,36,36,34
