timestamp,contact_1,contact_2,contact_3,contact_4
1741261517.7201939,1,1,1,1
1741261517.722182,1,1,1,1
1741261517.7241988,1,1,1,1
1741261517.7263095,1,1,1,1
1741261517.7282088,1,1,1,1
1741261517.7302175,1,1,1,1
1741261517.7322958,1,1,1,1
1741261517.7342134,1,1,1,1
1741261517.736211,1,1,1,1
1741261517.7382379,1,1,1,1
1741261517.7402143,1,1,1,1
1741261517.7423253,1,1,1,1
1741261517.7441926,1,1,1,1
1741261517.746192,1,1,1,1
1741261517.7482104,1,1,1,1
1741261517.7501981,1,1,1,1
1741261517.7522001,1,1,1,1
1741261517.7541914,1,1,1,1
1741261517.756195,1,1,1,1
1741261517.7581968,1,1,1,1
1741261517.7601814,1,1,1,1
1741261517.7621796,1,1,1,1
1741261517.764192,1,1,1,1
1741261517.766203,1,1,1,1
1741261517.7681963,1,1,1,1
1741261517.7702012,1,1,1,1
1741261517.772192,1,1,1,1
1741261517.7741873,1,1,1,1
1741261517.7761865,1,1,1,1
1741261517.7782214,1,1,1,1
1741261517.7802079,1,1,1,1
1741261517.7824,1,1,1,1
1741261517.784387,1,1,1,1
1741261517.7862127,1,1,1,1
1741261517.788187,1,1,1,1
1741261517.7901964,1,1,1,1
1741261517.792192,1,1,1,1
1741261517.7941902,1,1,1,1
1741261517.796187,1,1,1,1
1741261517.7982206,1,1,1,1
1741261517.8002107,1,1,1,1
1741261517.8025336,1,1,1,1
1741261517.804217,1,1,1,1
1741261517.80631,1,1,1,1
1741261517.808204,1,1,1,1
1741261517.8102136,1,1,1,1
1741261517.812208,1,1,1,1
1741261517.8142061,1,1,1,1
1741261517.8161843,1,1,1,1
1741261517.8181915,1,1,1,1
1741261517.8201663,1,1,1,1
1741261517.8222113,1,1,1,1
1741261517.8241882,1,1,1,1
1741261517.8265262,1,1,1,1
1741261517.8282838,1,1,1,1
1741261517.8302,1,1,1,1
1741261517.8332536,1,1,1,1
1741261517.8342037,1,1,1,1
1741261517.8362017,1,1,1,1
1741261517.8382173,1,1,1,1
1741261517.84023,1,1,1,1
1741261517.842215,1,1,1,1
1741261517.8441894,1,1,1,1
1741261517.8461862,1,1,1,1
1741261517.848194,1,1,1,1
1741261517.850246,1,1,1,1
1741261517.8522289,1,1,1,1
1741261517.854226,1,1,1,1
1741261517.8562322,1,1,1,1
1741261517.858249,1,1,1,1
1741261517.8602226,1,1,1,1
1741261517.8622205,1,1,1,1
1741261517.8642292,1,1,1,1
1741261517.8664417,1,1,1,1
1741261517.8686001,1,1,1,1
1741261517.8702075,1,1,1,1
1741261517.8723478,1,1,1,1
1741261517.8752367,1,1,1,1
1741261517.876185,1,1,1,1
1741261517.878206,1,1,1,1
1741261517.880192,1,1,1,1
1741261517.8822262,1,1,1,1
1741261517.8842306,1,1,1,1
1741261517.886434,1,1,1,1
1741261517.8882537,1,1,1,1
1741261517.890197,1,1,1,1
1741261517.8922217,1,1,1,1
1741261517.8942015,1,1,1,1
1741261517.8961997,1,1,1,1
1741261517.8982174,1,1,1,1
1741261517.900191,1,1,1,1
1741261517.9021893,1,1,1,1
1741261517.904177,1,1,1,1
1741261517.906187,1,1,1,1
1741261517.9081898,1,1,1,1
1741261517.9101868,1,1,1,1
1741261517.9121861,1,1,1,1
1741261517.9141982,1,1,1,1
1741261517.9161885,1,1,1,1
1741261517.9181983,1,1,1,1
1741261517.9201975,1,1,1,1
1741261517.9222016,1,1,1,1
1741261517.9241834,1,1,1,1
1741261517.9265592,1,1,1,1
1741261517.9281807,1,1,1,1
1741261517.9301908,1,1,1,1
1741261517.9321868,1,1,1,1
1741261517.9341836,1,1,1,1
1741261517.9361863,1,1,1,1
1741261517.9381988,1,1,1,1
1741261517.9401774,1,1,1,1
1741261517.9426467,1,1,1,1
1741261517.9441946,1,1,1,1
1741261517.9461904,1,1,1,1
1741261517.94818,1,1,1,1
1741261517.9501944,1,1,1,1
1741261517.952192,1,1,1,1
1741261517.9541986,1,1,1,1
1741261517.956202,1,1,1,1
1741261517.9581907,1,1,1,1
1741261517.9601994,1,1,1,1
1741261517.962256,1,1,1,1
1741261517.9641812,1,1,1,1
1741261517.9663305,1,1,1,1
1741261517.9682145,1,1,1,1
1741261517.9701943,1,1,1,1
1741261517.9721904,1,1,1,1
1741261517.9742131,1,1,1,1
1741261517.9761944,1,1,1,1
1741261517.978187,1,1,1,1
1741261517.9802313,1,1,1,1
1741261517.9821887,1,1,1,1
1741261517.9841754,1,1,1,1
1741261517.9861844,1,1,1,1
1741261517.9881854,1,1,1,1
1741261517.9901898,1,1,1,1
1741261517.99219,1,1,1,1
1741261517.9941852,1,1,1,1
1741261517.9961815,1,1,1,1
1741261517.9981773,1,1,1,1
1741261518.0001853,1,1,1,1
1741261518.0021834,1,1,1,1
1741261518.0041995,1,1,1,1
1741261518.0062962,1,1,1,1
1741261518.0081909,1,1,1,1
1741261518.010212,1,1,1,1
1741261518.0121968,1,1,1,1
1741261518.0152705,1,1,1,1
1741261518.0161953,1,1,1,1
1741261518.0181978,1,1,1,1
1741261518.0204391,1,1,1,1
1741261518.0221837,1,1,1,1
1741261518.024183,1,1,1,1
1741261518.0261896,1,1,1,1
1741261518.0281851,1,1,1,1
1741261518.0301821,1,1,1,1
1741261518.0321949,1,1,1,1
1741261518.0342083,1,1,1,1
1741261518.036189,1,1,1,1
1741261518.0381742,1,1,1,1
1741261518.04019,1,1,1,1
1741261518.0421808,1,1,1,1
1741261518.044196,1,1,1,1
1741261518.0462012,1,1,1,1
1741261518.0482004,1,1,1,1
1741261518.0501907,1,1,1,1
1741261518.0522034,1,1,1,1
1741261518.0541725,1,1,1,1
1741261518.056188,1,1,1,1
1741261518.0581937,1,1,1,1
1741261518.0601897,1,1,1,1
1741261518.0621855,1,1,1,1
1741261518.0641942,1,1,1,1
1741261518.0661936,1,1,1,1
1741261518.0682912,1,1,1,1
1741261518.07021,1,1,1,1
1741261518.072193,1,1,1,1
1741261518.0741856,1,1,1,1
1741261518.0763266,1,1,1,1
1741261518.0781832,1,1,1,1
1741261518.081131,1,1,1,1
1741261518.0829947,1,1,1,1
1741261518.0841799,1,1,1,1
1741261518.0861785,1,1,1,1
1741261518.088178,1,1,1,1
1741261518.0901825,1,1,1,1
1741261518.0921853,1,1,1,1
1741261518.0941844,1,1,1,1
1741261518.0961847,1,1,1,1
1741261518.0981975,1,1,1,1
1741261518.1001935,1,1,1,1
1741261518.1021826,1,1,1,1
1741261518.1041856,1,1,1,1
1741261518.106198,1,1,1,1
1741261518.108178,1,1,1,1
1741261518.110186,1,1,1,1
1741261518.1121798,1,1,1,1
1741261518.11419,1,1,1,1
1741261518.116194,1,1,1,1
1741261518.1182148,1,1,1,1
1741261518.120197,1,1,1,1
1741261518.1222086,1,1,1,1
1741261518.124177,1,1,1,1
1741261518.1262145,1,1,1,1
1741261518.1285114,1,1,1,1
1741261518.1305845,1,1,1,1
1741261518.1321929,1,1,1,1
1741261518.1341903,1,1,1,1
1741261518.1364932,1,1,1,1
1741261518.1381867,1,1,1,1
1741261518.1401925,1,1,1,1
1741261518.1421902,1,1,1,1
1741261518.1441972,1,1,1,1
1741261518.1461987,1,1,1,1
1741261518.1481855,1,1,1,1
1741261518.1501937,1,1,1,1
1741261518.152184,1,1,1,1
1741261518.1543915,1,1,1,1
1741261518.1562037,1,1,1,1
1741261518.1582043,1,1,1,1
1741261518.1601884,1,1,1,1
1741261518.1621888,1,1,1,1
1741261518.1641788,1,1,1,1
1741261518.1666572,1,1,1,1
1741261518.1683733,1,1,1,1
1741261518.1701696,1,1,1,1
1741261518.1725118,1,1,1,1
1741261518.1741693,1,1,1,1
1741261518.1761863,1,1,1,1
1741261518.1781645,1,1,1,1
1741261518.1801724,1,1,1,1
1741261518.1821687,1,1,1,1
1741261518.1841886,1,1,1,1
1741261518.186185,1,1,1,1
1741261518.1881819,1,1,1,1
1741261518.190188,1,1,1,1
1741261518.1921868,1,1,1,1
1741261518.1941717,1,1,1,1
1741261518.196186,1,1,1,1
1741261518.198164,1,1,1,1
1741261518.2001908,1,1,1,1
1741261518.2021718,1,1,1,1
1741261518.204194,1,1,1,1
1741261518.206183,1,1,1,1
1741261518.2081969,1,1,1,1
1741261518.210187,1,1,1,1
1741261518.212201,1,1,1,1
1741261518.2141798,1,1,1,1
1741261518.216179,1,1,1,1
1741261518.2181861,1,1,1,1
1741261518.220161,1,1,1,1
1741261518.2229064,1,1,1,1
1741261518.224185,1,1,1,1
1741261518.2262034,1,1,1,1
1741261518.228189,1,1,1,1
1741261518.230185,1,1,1,1
1741261518.232182,1,1,1,1
1741261518.2341795,1,1,1,1
1741261518.2361872,1,1,1,1
1741261518.238202,1,1,1,1
1741261518.2401705,1,1,1,1
1741261518.2421663,1,1,1,1
1741261518.2441938,1,1,1,1
1741261518.2461963,1,1,1,1
1741261518.2481623,1,1,1,1
1741261518.2501724,1,1,1,1
1741261518.252182,1,1,1,1
1741261518.2541964,1,1,1,1
1741261518.2561743,1,1,1,1
1741261518.2583914,1,1,1,1
1741261518.2601805,1,1,1,1
1741261518.262183,1,1,1,1
1741261518.2642038,1,1,1,1
1741261518.266168,1,1,1,1
1741261518.268187,1,1,1,1
1741261518.2701728,1,1,1,1
1741261518.2721794,1,1,1,1
1741261518.2742167,1,1,1,1
1741261518.2761931,1,1,1,1
1741261518.278178,1,1,1,1
1741261518.280195,1,1,1,1
1741261518.2821825,1,1,1,1
1741261518.2841794,1,1,1,1
1741261518.2862062,1,1,1,1
1741261518.2881818,1,1,1,1
1741261518.2901704,1,1,1,1
1741261518.2921653,1,1,1,1
1741261518.2947586,1,1,1,1
1741261518.2964818,1,1,1,1
1741261518.2983809,1,1,1,1
1741261518.3001802,1,1,1,1
1741261518.3021712,1,1,1,1
1741261518.3045797,1,1,1,1
1741261518.306186,1,1,1,1
1741261518.308181,1,1,1,1
1741261518.3102553,1,1,1,1
1741261518.3121736,1,1,1,1
1741261518.3141904,1,1,1,1
1741261518.3161793,1,1,1,1
1741261518.318184,1,1,1,1
1741261518.3201754,1,1,1,1
1741261518.3221908,1,1,1,1
1741261518.3241832,1,1,1,1
1741261518.3263474,1,1,1,1
1741261518.3281705,1,1,1,1
1741261518.3301792,1,1,1,1
1741261518.3321636,1,1,1,1
1741261518.334171,1,1,1,1
1741261518.3361719,1,1,1,1
1741261518.3381834,1,1,1,1
1741261518.3401713,1,1,1,1
1741261518.3421733,1,1,1,1
1741261518.3441541,1,1,1,1
1741261518.3461711,1,1,1,1
1741261518.3481684,1,1,1,1
1741261518.3501673,1,1,1,1
1741261518.3521633,1,1,1,1
1741261518.3541763,1,1,1,1
1741261518.3562584,1,1,1,1
1741261518.3582542,1,1,1,1
1741261518.3602805,1,1,1,1
1741261518.362478,1,1,1,1
1741261518.364255,1,1,1,1
1741261518.3662207,1,1,1,1
1741261518.3682368,1,1,1,1
1741261518.3702297,1,1,1,1
1741261518.372222,1,1,1,1
1741261518.3742487,1,1,1,1
1741261518.3762255,1,1,1,1
1741261518.3785822,1,1,1,1
1741261518.3802383,1,1,1,1
1741261518.3822062,1,1,1,1
1741261518.3842027,1,1,1,1
1741261518.3871233,1,1,1,1
1741261518.3882267,1,1,1,1
1741261518.3911383,1,1,1,1
1741261518.392241,1,1,1,1
1741261518.394228,1,1,1,1
1741261518.396225,1,1,1,1
1741261518.3981588,1,1,1,1
1741261518.400166,1,1,1,1
1741261518.4021547,1,1,1,1
1741261518.4041603,1,1,1,1
1741261518.4061465,1,1,1,1
1741261518.4081726,1,1,1,1
1741261518.4101677,1,0,0,1
1741261518.4121757,1,0,0,1
1741261518.4141622,1,0,0,1
1741261518.4162073,1,0,0,1
1741261518.418178,1,0,0,1
1741261518.4201946,1,0,0,1
1741261518.422174,1,0,0,1
1741261518.4241788,1,0,0,1
1741261518.4261966,1,0,0,1
1741261518.4281812,1,0,0,1
1741261518.4301898,1,0,0,1
1741261518.4321754,1,0,0,1
1741261518.4341931,1,0,0,1
1741261518.4370303,1,0,0,1
1741261518.4381936,1,0,0,1
1741261518.440174,1,0,0,1
1741261518.4421983,1,0,0,1
1741261518.4441776,1,0,0,1
1741261518.4461637,1,0,0,1
1741261518.4481676,1,0,0,1
1741261518.450156,1,0,0,1
1741261518.4521742,1,0,0,1
1741261518.4541576,1,0,0,1
1741261518.4561698,1,0,0,1
1741261518.4581857,1,0,0,1
1741261518.4602091,1,0,0,1
1741261518.4621897,1,0,0,1
1741261518.464207,1,0,0,1
1741261518.4662035,1,0,0,1
1741261518.4681692,1,0,0,1
1741261518.4701765,1,0,0,1
1741261518.4721837,1,0,0,1
1741261518.474169,1,0,0,1
1741261518.4761872,1,0,0,1
1741261518.4781735,1,0,0,1
1741261518.480171,1,0,0,1
1741261518.4821799,1,0,0,1
1741261518.4842668,1,0,0,1
1741261518.486182,1,0,0,1
1741261518.4881787,1,0,0,1
1741261518.4902475,1,0,0,1
1741261518.4936252,1,0,0,1
1741261518.494174,1,0,0,1
1741261518.4961655,1,0,0,1
1741261518.49819,1,0,0,1
1741261518.5001874,1,0,0,1
1741261518.5040793,1,0,0,1
1741261518.5056038,1,0,0,1
1741261518.5062244,1,0,0,1
1741261518.5082781,1,0,0,1
1741261518.5101929,1,0,0,1
1741261518.5121908,1,0,0,1
1741261518.5142083,1,0,0,1
1741261518.5162935,1,0,0,1
1741261518.5181668,1,0,0,1
1741261518.5201652,1,0,0,1
1741261518.5222173,1,0,0,1
1741261518.5241733,1,0,0,1
1741261518.5261998,1,0,0,1
1741261518.528181,1,0,0,1
1741261518.5301583,1,0,0,1
1741261518.5321696,1,0,0,1
1741261518.5341487,1,0,0,1
1741261518.5361557,1,0,0,1
1741261518.5381632,1,0,0,1
1741261518.5401423,1,0,0,1
1741261518.5421705,1,0,0,1
1741261518.544182,1,0,0,1
1741261518.546163,1,0,0,1
1741261518.5481703,1,0,0,1
1741261518.5501616,1,0,0,1
1741261518.5521991,1,0,0,1
1741261518.554211,1,0,0,1
1741261518.5563009,1,0,0,1
1741261518.5581737,1,0,0,1
1741261518.5601716,1,0,0,1
1741261518.5635738,1,0,0,1
1741261518.5645835,1,0,0,1
1741261518.5662718,1,0,0,1
1741261518.5682173,1,0,0,1
1741261518.5701694,1,0,0,1
1741261518.572161,1,0,0,1
1741261518.5748758,1,0,0,1
1741261518.5764236,1,0,0,1
1741261518.5781777,1,0,0,1
1741261518.5801685,1,0,0,1
1741261518.5829065,1,0,0,1
1741261518.584182,1,0,0,1
1741261518.5861676,1,0,0,1
1741261518.5881748,1,0,0,1
1741261518.590173,1,0,0,1
1741261518.5940337,1,0,0,1
1741261518.5945039,1,0,0,1
1741261518.5961733,1,0,0,1
1741261518.5981715,1,0,0,1
1741261518.6001792,1,0,0,1
1741261518.602156,1,0,0,1
1741261518.6041467,1,0,0,1
1741261518.6061778,1,0,0,1
1741261518.6082366,1,0,0,1
1741261518.6101787,1,0,0,1
1741261518.6121686,1,0,0,1
1741261518.6141868,1,0,0,1
1741261518.616173,1,0,0,1
1741261518.6181862,1,0,0,1
1741261518.6201553,1,0,0,1
1741261518.6222157,1,0,0,1
1741261518.6241806,1,0,0,1
1741261518.6261666,1,0,1,1
1741261518.6281624,1,0,1,1
1741261518.630175,1,0,1,1
1741261518.632168,1,1,1,1
1741261518.6341631,1,1,1,1
1741261518.6361806,1,1,1,1
1741261518.6381667,1,1,1,1
1741261518.6401746,1,1,1,1
1741261518.642174,1,1,1,1
1741261518.6449254,1,1,1,1
1741261518.6461637,1,1,1,1
1741261518.6481712,1,1,1,1
1741261518.6501782,0,1,1,0
1741261518.653814,0,1,1,0
1741261518.654283,0,1,1,0
1741261518.65622,0,1,1,0
1741261518.658319,0,1,1,0
1741261518.6601932,0,1,1,0
1741261518.6621642,0,1,1,0
1741261518.6641555,0,1,1,0
1741261518.666186,0,1,1,0
1741261518.668174,0,1,1,0
1741261518.6702635,0,1,1,0
1741261518.6722085,0,1,1,0
1741261518.6742296,0,1,1,0
1741261518.6762226,0,1,1,0
1741261518.6782315,0,1,1,0
1741261518.6802044,0,1,1,0
1741261518.6821887,0,1,1,0
1741261518.6844122,0,1,1,0
1741261518.6861537,0,1,1,0
1741261518.688163,0,1,1,0
1741261518.6904273,0,1,1,0
1741261518.692207,0,1,1,0
1741261518.694163,0,1,1,0
1741261518.6961806,0,1,1,0
1741261518.698177,0,1,1,0
1741261518.7001755,0,1,1,0
1741261518.7021706,0,1,1,0
1741261518.7041776,0,1,1,0
1741261518.7061865,0,1,1,0
1741261518.7081914,0,1,1,0
1741261518.7102292,0,1,1,0
1741261518.7124212,0,1,1,0
1741261518.7141821,0,1,1,0
1741261518.7166574,0,1,1,0
1741261518.7196903,0,1,1,0
1741261518.720182,0,1,1,0
1741261518.7222235,0,1,1,0
1741261518.7241788,0,1,1,0
1741261518.7262983,0,1,1,0
1741261518.72817,0,1,1,0
1741261518.7301736,0,1,1,0
1741261518.7321744,0,1,1,0
1741261518.7341912,0,1,1,0
1741261518.7362301,0,1,1,0
1741261518.7382262,0,1,1,0
1741261518.7401729,0,1,1,0
1741261518.7421777,0,1,1,0
1741261518.7441976,0,1,1,0
1741261518.7461698,0,1,1,0
1741261518.7481697,0,1,1,0
1741261518.750164,0,1,1,0
1741261518.7523582,0,1,1,0
1741261518.754181,0,1,1,0
1741261518.7561755,0,1,1,0
1741261518.7581713,0,1,1,0
1741261518.760169,0,1,1,0
1741261518.7621646,0,1,1,0
1741261518.7641912,0,1,1,0
1741261518.7661695,0,1,1,0
1741261518.768178,0,1,1,0
1741261518.7701738,0,1,1,0
1741261518.77216,0,1,1,0
1741261518.7741888,0,1,1,0
1741261518.7762864,0,1,1,0
1741261518.778168,0,1,1,0
1741261518.7801988,0,1,1,0
1741261518.7821758,0,1,1,0
1741261518.7860377,0,1,1,0
1741261518.7865112,0,1,1,0
1741261518.7887886,0,1,1,0
1741261518.7901676,0,1,1,0
1741261518.7921665,0,1,1,0
1741261518.794165,0,1,1,0
1741261518.7961822,0,1,1,0
1741261518.798156,0,1,1,0
1741261518.8001766,0,1,1,0
1741261518.8028533,0,1,1,0
1741261518.80417,0,1,1,0
1741261518.8062453,0,1,1,0
1741261518.8081641,0,1,1,0
1741261518.8101506,0,1,1,0
1741261518.8121564,0,1,1,0
1741261518.814162,0,1,1,0
1741261518.8161702,0,1,1,0
1741261518.8182497,0,1,1,0
1741261518.8201854,0,1,1,0
1741261518.8222709,0,1,1,0
1741261518.8241994,0,1,1,0
1741261518.8261845,0,1,1,0
1741261518.828182,0,1,1,0
1741261518.8301704,0,1,1,0
1741261518.8329816,0,1,1,0
1741261518.834185,0,1,1,0
1741261518.8361762,0,1,1,0
1741261518.8381634,0,1,1,0
1741261518.8401625,0,1,1,0
1741261518.8421683,0,1,1,0
1741261518.844181,0,1,1,0
1741261518.8461692,0,1,1,0
1741261518.848167,0,1,1,0
1741261518.8501725,0,1,1,0
1741261518.8521643,0,1,1,0
1741261518.8541915,0,1,1,0
1741261518.8580618,0,1,1,0
1741261518.8585327,0,1,1,0
1741261518.8601587,1,1,1,0
1741261518.8621678,1,1,1,0
1741261518.864208,1,1,1,0
1741261518.8661616,1,1,1,0
1741261518.868237,1,1,1,0
1741261518.8701499,1,1,1,1
1741261518.8721616,1,1,1,1
1741261518.8741605,1,1,1,1
1741261518.876176,1,1,1,1
1741261518.8782406,1,1,1,1
1741261518.8801713,1,1,1,1
1741261518.8821676,1,1,1,1
1741261518.884176,1,1,1,1
1741261518.886176,1,1,1,1
1741261518.888178,1,1,1,1
1741261518.8901649,1,0,0,1
1741261518.8922548,1,0,0,1
1741261518.8941853,1,0,0,1
1741261518.8961558,1,0,0,1
1741261518.898152,1,0,0,1
1741261518.9001591,1,0,0,1
1741261518.902153,1,0,0,1
1741261518.9041634,1,0,0,1
1741261518.9061987,1,0,0,1
1741261518.908215,1,0,0,1
1741261518.910201,1,0,0,1
1741261518.9122803,1,0,0,1
1741261518.9142098,1,0,0,1
1741261518.9161625,1,0,0,1
1741261518.9181592,1,0,0,1
1741261518.9201498,1,0,0,1
1741261518.922143,1,0,0,1
1741261518.925269,1,0,0,1
1741261518.9262474,1,0,0,1
1741261518.92817,1,0,0,1
1741261518.9301615,1,0,0,1
1741261518.932165,1,0,0,1
1741261518.9341545,1,0,0,1
1741261518.9362068,1,0,0,1
1741261518.938186,1,0,0,1
1741261518.9401531,1,0,0,1
1741261518.9421902,1,0,0,1
1741261518.9441388,1,0,0,1
1741261518.9461462,1,0,0,1
1741261518.9482145,1,0,0,1
1741261518.950164,1,0,0,1
1741261518.9521556,1,0,0,1
1741261518.9541593,1,0,0,1
1741261518.9561899,1,0,0,1
1741261518.9581747,1,0,0,1
1741261518.9601681,1,0,0,1
1741261518.96215,1,0,0,1
