timestamp,orientation_x,orientation_y,orientation_z,orientation_w,angular_vel_x,angular_vel_y,angular_vel_z,linear_acc_x,linear_acc_y,linear_acc_z
1741261534.9465995,0.44606894,-0.0019199987,-0.007415429,0.8949659,-0.013848436,0.24607606,-1.2570119,0.49081135,-0.6596026,8.772355
1741261534.9490404,0.4466312,-0.002009857,-0.007367954,0.8946856,-0.012783172,0.2119876,-1.2559466,0.15682021,-0.41299978,8.25401
1741261534.9506369,0.44833383,-0.002280785,-0.0072304467,0.8938341,-0.003195793,0.2269013,-1.2697951,0.15682021,-0.41299978,8.25401
1741261534.9529479,0.44948167,-0.0024499572,-0.007133824,0.89325786,-0.010652643,0.19707389,-1.281513,-0.22026655,-0.09816227,9.251195
1741261534.9549851,0.45120364,-0.0026803422,-0.0070079076,0.8923896,-0.021305285,0.18535599,-1.2953614,-0.22026655,-0.09816227,9.251195
1741261534.957743,0.45178977,-0.0027666523,-0.0069715097,0.892093,-0.03728425,0.18961705,-1.3134708,-0.22026655,-0.09816227,9.251195
1741261534.9589252,0.45296097,-0.0028819856,-0.0069357418,0.89149874,-0.047936894,0.105461165,-1.317732,-0.009576807,0.17238252,9.143456
1741261534.9606907,0.45413834,-0.0030152928,-0.0069241785,0.8908993,-0.07030744,0.1310275,-1.3251888,-0.009576807,0.17238252,9.143456
1741261534.962975,0.45532104,-0.0031478356,-0.006939599,0.8902948,-0.106526434,0.1043959,-1.3262541,0.30047232,-0.22505496,8.35337
1741261534.964808,0.4565084,-0.0032698575,-0.0069755525,0.8896858,-0.12357066,0.090547465,-1.3411678,0.30047232,-0.22505496,8.35337
1741261534.9666777,0.45770296,-0.0033883487,-0.007030185,0.889071,-0.12570119,0.0745685,-1.3443636,0.30047232,-0.22505496,8.35337
1741261534.9686189,0.458904,-0.003487326,-0.0070885415,0.88845074,-0.119309604,0.06604639,-1.3507551,0.33279404,-0.28491,8.485051
1741261534.9707005,0.46011373,-0.003564935,-0.0071503744,0.887824,-0.105461165,0.047936894,-1.3656689,0.33279404,-0.28491,8.485051
1741261534.9725525,0.4613274,-0.0036095139,-0.0072134975,0.8871933,-0.120374866,0.0149137005,-1.3688647,0.32441434,-0.3866636,8.309077
1741261534.9750576,0.46316576,-0.0036674675,-0.007295863,0.8862342,-0.092677996,0.036218986,-1.394431,0.32441434,-0.3866636,8.309077
1741261534.9766812,0.4637788,-0.0036853885,-0.0073237335,0.8859131,-0.092677996,0.0149137005,-1.3859088,0.32441434,-0.3866636,8.309077
